Summary The contribution of prey-capture speed to toads' ability to ingest chemically protected prey is evaluated: first, by measuring the speed of toads ingesting palatable prey for comparison with reaction times for prey defenses, and second, by analyzing encounters between toads and bombardier beetles — insects with a quick and potent chemical defense.1.a.Analysis of filmed (64 fps) prey-capture sequences reveals that the rapid tongue flip is preceded by a slower forward lunge of the entire body and followed by a still slower ingestion of retrieved prey (Fig. 1, Table 1). Only the tongue flip, which establishes contact with the prey and retrieves it into the toad's mouth, requires less time than latencies typically reported for invertebrate defensive responses. Ingestion of retrieved prey is not completed until more than 500 ms after initial contact between tongue and prey, giving prey sufficient time to respond with chemical defenses.1.b.Marine toads, the larger of the two species studied, are slower than American toads in all phases of prey-capture up until the beginning of swallowing; however, they complete ingestion as quickly as American toads (Fig. 1, Table 1).2.American toads which attack bombardier beetles usually reject the beetles after retrieving them into their mouths (Table 2). Rejection is a dramatic reversal of prey-capture which typically begins within 300 ms of initial contact between tongue and beetle (Figs. 1, 2). After rejecting a bombardier beetle, American toads exhibit behavior that suggests discomfort and display a temporary aversion to striking again at the beetle (Table 3).3.Marine toads which attack bombardier beetles usually ingest the beetles without showing discomfort (Table 2). When they do reject bombardier beetles or show other behavioral reactions, the behavior is similar to but less intense than that of American toads. Irrespective of the outcome of a previous encounter, marine toads strike willingly when a second bombardier beetle is offered (Table 3).4.An ingested bombardier beetle occasionally causes a toad discomfort but rarely induces the toad to evert its stomach and reject the beetle.5.It is concluded that bombardier beetles attacked by a toad must deploy their chemical defense while still in the toad's mouth if they are to survive. When adequately stimulated, the beetles are able to respond in less time than toads require to ingest prey. Nevertheless, toads can overcome this chemical defense by retrieving and swallowing beetles without eliciting defensive discharges.
evert               0.9999997328589317^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Anatomical_terms_of_motion
toads                         0.9999996991482929^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toad                  

beetles                       0.9999932940663461^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Insect                

fps                           0.9969422182872378^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Frame_rate            

strike                        0.9762731256913628^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Strike_action         

toads                         0.9999996991482929^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toad                  

beetle                        0.999995317844243^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Insect                

species                       0.9381584918069896^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

toad                          0.9999999639487676^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toad                  

bombardier beetle             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bombardier_beetle     

toads                         0.9999996991482929^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toad                  

American toads                0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/American_toad         

Figs                          0.999999302854819^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ficus                 

beetle                        0.999995317844243^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Insect                

bombardier beetles            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bombardier_beetle     

prey                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Predation             

prey                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Predation             

prey                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Predation             

swallowing                    0.9995210269431676^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Swallowing            

marine                        0.9625324428639949^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Seawater              

beetle                        0.999995317844243^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Insect                

