Abstract Differences in spatial rooting patterns among coexisting species have been recognized as an important mechanism for generating biodiversity effects on ecosystem functioning. However, it is not yet clear whether complementarity in root space exploration is a universal characteristic of multi-species woody communities. In a temperate broad-leaved forest with a mosaic of species-poor and species-rich stands, we tested two hypotheses related to putative below-ground ‘overyielding’ in more diverse forests, (1) that species mixture results in a partial spatial segregation of the fine root systems of different species, and (2) that stand fine root biomass increases with tree species diversity. We investigated 12 stands either with one, three, or five dominant tree species (4 replicate stands each) under similar soil and climate conditions for stand fine root biomass and spatial root segregation in vertical and horizontal direction in the soil. Fine roots of different tree species were identified using a morphological key based on differences in colour, periderm surface structure, and branching patterns. In species-poor and species-rich stands, and in all tree species present, fine root density (biomass per soil volume) decreased exponentially with soil depth at very similar rates. Stand fine root biomass in the densely rooted upper soil (0–40 cm depth) was not significantly different between stands with 1, 3 or 5 dominant tree species. We conclude that ‘below-ground overyielding’ in terms of higher fine root biomasses in species-rich stands as compared to monospecific ones does not occur in these broad-leaved forests which most likely results from a missing complementarity in vertical rooting patterns of the present tree species.
monospecific        0.5981262377906854^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Monotypic_taxon       

biomass                       0.999717790030921^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Biomass_(ecology)     

soil                          0.9999861663815929^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

tree                          0.9999955038355107^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tree                  

mosaic                        0.791824177047995^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Mosaic                

species diversity             0.9489324934957443^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

space exploration             0.9990948397997192^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Space_exploration     

surface structure             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Transformational_grammar

root                          0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Root                  

biomass                       0.999717790030921^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Biomass_(ecology)     

periderm                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bark                  

temperate                     0.9999666252949697^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temperate_climate     

universal characteristic      0.9999999999849933^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Characteristica_universalis

overyielding                  0.6525696908795291^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Overyielding          

soil                          0.9999861663815929^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

roots                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Root                  

tree                          0.9999955038355107^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tree                  

broad-leaved                  0.9999999310936142^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deciduous             

root                          0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Root                  

tree                          0.9999955038355107^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tree                  

species                       0.9998262431467718^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

soil                          0.9999861663815929^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

root                          0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Root                  

complementarity               0.9971040392519982^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Complementarity_(molecular_biology)

soil                          0.9999861663815929^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

biomass                       0.999717790030921^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Biomass_(ecology)     

tree                          0.9999955038355107^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tree                  

dominant                      0.6885288515300323^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dominance_(genetics)  

tree                          0.9999955038355107^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tree                  

soil                          0.9999861663815929^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

root                          0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Root                  

species                       0.9998262431467718^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

species                       0.9998262431467718^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

dominant                      0.6885288515300323^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dominance_(genetics)  

biomass                       0.999717790030921^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Biomass_(ecology)     

overyielding                  0.6525696908795291^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Overyielding          

tree                          0.9999955038355107^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tree                  

root                          0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Root                  

root                          0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Root                  

complementarity               0.9971040392519982^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Complementarity_(molecular_biology)

broad-leaved                  0.9999999310936142^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deciduous             

climate                       0.9999954150325102^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Climate               

segregation                   0.992698848863784^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Mendelian_inheritance 

segregation                   0.992698848863784^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Mendelian_inheritance 

species                       0.9998262431467718^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

root systems                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Root                  

biodiversity                  0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

density                       0.9999999977358129^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Density               

species                       0.9998262431467718^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

biomasses                     0.9998578557689227^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biomass_(ecology)     

species                       0.9998262431467718^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

species                       0.9998262431467718^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

ecosystem                     0.9999999999432703^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ecosystem             

species                       0.9998262431467718^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

hypotheses                    0.9999999992705852^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hypothesis            

root                          0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Root                  

morphological                 0.9999988236689985^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Morphology_(biology)  

