Abstract A silicon and PMMA (poly-(methyl methacrylate)) retinal tack with barbs is developed for retinal prostheses. The MEMS retinal tack presented in this paper has barbs, which are intended for the fixation of the epiretinal-type retina-stimulating microelectrode array. Although conventional retinal tacks made of titanium are available, they are expensive, invasive, and restricted in shape. The silicon retinal tack is fabricated using silicon micromachining, and the PMMA retinal tack is fabricated by X-ray lithography for accurate micro-patterning, which is very scalable and is suitable for inexpensive and repeatable mass production. In this paper, long-term in vivo biocompatibility evaluation of silicon and PMMA retinal tacks is presented. The MEMS retina tack is implanted with epiretinal microelectrodes onto the retinal surface of the rabbit eye and harvested after 1 year for the silicon retinal tack and 6 months for the PMMA retinal tack. Through histological examination, no inflammatory infiltrates in retina, choroid, nor sclera are revealed. Scanning electron microscope (SEM) images show no chemical reaction trace nor mechanical fracture of the implanted device. The results indicate that both silicon and PMMA retinal tacks are suitable for mechanical fixation of microelectrode arrays. Also, the long-term evaluation of the durability in vivo shows acceptable biocompatibility for further use in retinal prostheses.
chemical reaction   0.9999999874751212^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_reaction     
retinal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Retina                

silicon                       0.9999996296416616^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Silicon               

invasive                      0.9998021458705773^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Invasiveness_of_surgical_procedures

mass production               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mass_production       

microelectrode arrays         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Multielectrode_array  

tack                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Adhesive              

MEMS                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microelectromechanical_systems

titanium                      0.9999999999819238^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Titanium              

retinal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Retina                

choroid                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Choroid               

fixation                      0.9955192032581778^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fovea_centralis       

prostheses                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Prosthesis            

retinal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Retina                

silicon                       0.9999996296416616^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Silicon               

PMMA                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Poly(methyl_methacrylate)

tack                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Adhesive              

