Abstract Small crack growth behavior, including the pit-to-crack transition, of pre-corroded aluminum alloy 7075-T6 was investigated under ambient air and saltwater environments. Through pit and corner crack pits were created prior to constant stress amplitude fatigue testing. The small crack growth life (SCGL) and crack initiation life (CIL) under salt water condition were about 5-8 times less when compared to those under ambient air. The ratio of SCGL to CIL was significantly smaller with large uncertainty (variation) under salt water environment. The small crack growth rates under salt water were 2-12 times larger than corresponding rates under laboratory air at identical stress amplitude and crack length. The crack lengths required to attain Paris region growth rates (Paris region threshold crack lengths) were about 1-3 mm for stress amplitudes less than 45 MPa. Sub-millimeter cracks attained 10−4 mm/cycle fatigue crack growth rates (FCGR) for stress amplitudes greater than 45 MPa. The crack growth rates of 0.25-mm-long cracks were about 2 times higher for salt water environment when compared to identical stress conditions in ambient air. Empirical crack growth rate versus stress intensity factor range equations similar to Paris law were developed for small crack growth and crack initiation under ambient air and salt water condition, for fatigue crack prognostics applications. For the design applications, a modified Kitagawa-Takahashi (K-T) diagram for corrosion-pitted aluminum 7075-T6 is presented.
crack                         0.9999999998576641^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fracture              

stress                        0.9999996063088112^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stress_(mechanics)    

crack                         0.9999999998576641^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fracture              

salt                          0.9898640404834019^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Seawater              

stress                        0.9999996063088112^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stress_(mechanics)    

fatigue                       0.9999999993307256^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fatigue_(material)    

K-T                           0.9999999998146905^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cretaceous–Paleogene_extinction_event

Paris                         0.9999336633784046^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Paris                 

water                         0.9705189395292318^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 

water                         0.9705189395292318^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 

laboratory                    0.9999563910949029^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Laboratory            

crack                         0.9999999998576641^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fracture              

crack                         0.9999999998576641^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fracture              

uncertainty                   0.9718218115387762^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Standard_deviation    

water                         0.9705189395292318^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 

saltwater                     0.9999998352094643^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Seawater              

salt                          0.9898640404834019^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Seawater              

