Summary Among 33-year-old forest trees ofLarix decidua, L. leptolepis andL. decidua x leptolepis, the hybrid possessed an above-ground biomass which was three times greater, although all larches displayed similar relative distributions of biomass. At a “relative growth rate” slightly lower than in the parent species, hybrid larch achieved twice the annual carbon gain, increment in stem length and above-ground production, and its foliage-related stem growth was higher than in European (L. decidua) but similar to Japanese (L. leptolepis) larch. A similar “relative growth efficiency” and foliage-related total above-ground production in all trees did reflect the similarity of photosynthetic capacity of the hybrid found at the leaf level. While the lengths of lateral twigs on hybrid branches were intermediate between the European larch with short, and the Japanese larch with large, twigs the hybrid possessed the longest branches with the highest needle biomass. This resulted in a crown structure of the hybrid crown similar to the Japanese larch together with a high needle density on branches as in the European larch. In total, the foliage biomass per crown length was about 30�igher in hybrid larch than in both of the parent species. Thus, the high carbon input for the stem heterosis was based on a “complementation principle” of advantageous parent features at the crown level. Similar slopes of foliage against sapwood area of stem and branches did not indicate a special need for a thick hybrid stem with respect to water transport.
larches                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Larch                 

carbon                        0.9984951851923077^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon                

European larch                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Larix_decidua         

hybrid                        0.9999999992048743^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hybrid_(biology)      

crown                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Crown_(botany)        

stem                          0.9999999999918145^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plant_stem            

lengths                       0.9049775734572904^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Euclidean_vector      

